t,t1,t2,Struct-relax,Diffusion-constant,DW-Factor
0.60,NAN,NAN,NAN,NAN,0.0341997
0.65,NAN,NAN,6.80199e+05,3.36406e-08,0.0387745
0.68,4.00000e+05,6.06261e+05,8.00040e+04,9.62634e-08,0.041337
0.70,3.03548e+05,4.70690e+05,6.35480e+04,1.91525e-07,0.044418
0.75,7.06900e+04,1.03548e+05,1.38620e+04,5.85940e-07,0.0577248
0.80,4.80400e+03,4.80400e+03,5.77000e+02,5.17852e-06,0.0790346
0.90,1.02700e+03,5.20000e+02,5.40000e+01,3.39748e-05,0.133323
1.00,3.30000e+02,1.67000e+02,1.10000e+01,1.19025e-04,0.20728
1.10,1.67000e+02,5.40000e+01,5.00000e+00,3.12798e-04,0.514032
1.20,1.06000e+02,2.70000e+01,3.00000e+00,7.64857e-04,0.7919
1.40,4.30000e+01,1.30000e+01,2.00000e+00,1.96914e-03,0.777449
1.60,2.70000e+01,7.00000e+00,1.00000e+00,5.13686e-03,1.02556
1.80,1.70000e+01,4.00000e+00,1.00000e+00,9.46410e-03,1.93377
2.00,1.30000e+01,2.00000e+00,1.00000e+00,1.55184e-02,2.49156
2.50,7.00000e+00,1.00000e+00,1.00000e+00,3.70894e-02,0.979494
3.00,4.00000e+00,1.00000e+00,1.00000e+00,6.83092e-02,0.909207
3.50,3.00000e+00,1.00000e+00,1.00000e+00,1.06818e-01,1.19328
