t,t1,t2,Struct-relax,Diffusion-constant,DW-Factor
1.00,NAN,NAN,NAN,NAN,0.0425149
1.05,NAN,NAN,1.32044e+06,9.73943e-08,0.045025
1.10,1.32000e+06,8.40000e+05,2.40000e+05,2.20527e-07,0.048179
1.15,4.58067e+05,2.86261e+05,6.35480e+04,6.52563e-07,0.0544669
1.20,1.90690e+05,1.20000e+05,2.35480e+04,1.63884e-06,0.0603099
1.25,7.06900e+04,4.00000e+04,6.26100e+03,5.17128e-06,0.0701572
1.30,3.06900e+04,1.38620e+04,2.17000e+03,1.33339e-05,0.079758
1.35,1.26530e+04,6.02700e+03,6.53000e+02,3.43193e-05,0.0877446
1.40,6.54200e+03,3.18900e+03,2.63000e+02,7.03807e-05,0.108052
1.50,2.54200e+03,1.02700e+03,5.40000e+01,2.28591e-04,0.138978
1.60,1.02700e+03,3.30000e+02,1.10000e+01,6.71938e-04,0.200788
1.80,3.30000e+02,1.06000e+02,4.00000e+00,2.37354e-03,0.306051
2.00,1.67000e+02,4.30000e+01,2.00000e+00,5.83908e-03,0.182292
2.50,5.40000e+01,1.30000e+01,1.00000e+00,2.12491e-02,0.212988
3.00,2.70000e+01,7.00000e+00,1.00000e+00,4.44587e-02,0.246575
3.50,1.70000e+01,4.00000e+00,1.00000e+00,7.27395e-02,0.491072
