t,Circle-order,Frac-6-fold,Orientational,Structure-factor,Structure-factor-part,Density,PackingFraction
1.00,0.0373333,0.4764,0.642174,1.5503,3.79577,0.5925,0.9921
1.05,0.0372,0.4816,0.640556,1.52381,3.78557,0.5914,0.9902
1.10,0.0328,0.4816,0.63525,1.56318,3.78097,0.5902,0.9882
1.15,0.0357333,0.4396,0.643428,1.54644,3.78034,0.5891,0.9864
1.20,0.0366667,0.4508,0.64427,1.55444,3.77214,0.5890,0.9862
1.25,0.0337333,0.454,0.642576,1.58186,3.75843,0.5872,0.9832
1.30,0.0270667,0.4372,0.634741,1.55526,3.75999,0.5867,0.9824
1.35,0.032,0.4364,0.636842,1.57686,3.75748,0.5855,0.9804
1.40,0.0297333,0.4236,0.638233,1.51371,3.74218,0.5844,0.9786
1.50,0.0265333,0.3896,0.640575,1.57,3.7305,0.5828,0.9758
1.60,0.0253333,0.3748,0.645747,1.50546,3.70597,0.5812,0.9732
1.80,0.0184,0.3352,0.641493,1.50328,3.68334,0.5770,0.9661
2.00,0.0148,0.3152,0.645168,1.53776,3.65727,0.5735,0.9603
2.50,0.0106667,0.2284,0.644992,1.48097,3.59258,0.5656,0.9470
3.00,0.0114667,0.1892,0.645868,1.47047,3.50966,0.5574,0.9334
3.50,0.00826667,0.1284,0.646031,1.49523,3.43536,0.5508,0.9222
