t,Structure-factor,t1,t2,Struct-relax,Diffusion-constant
1.60,
1.62,
1.65,
1.68,
1.70,1.98374e+00,NAN,NAN,3.14800e+07,1.60971e-07
1.75,1.91002e+00,NAN,NAN,9.99090e+06,1.74625e-07
1.80,1.96498e+00,NAN,NAN,4.29000e+04,2.25193e-07
1.90,1.90801e+00,NAN,NAN,3.73900e+05,2.40879e-07
1.95,1.98763e+00,NAN,NAN,1.84900e+05,2.15326e-07
2.10,2.16315e+00,NAN,NAN,3.09000e+04,5.10018e-07
2.20,1.96014e+00,NAN,NAN,9.31000e+03,6.00212e-07
2.50,2.12961e+00,7.92800e+07,3.10000e+07,3.31000e+03,6.27707e-06
3.00,1.89908e+00,3.88000e+06,1.18000e+06,1.26000e+03,1.37926e-04
3.50,2.15746e+00,6.50900e+05,1.83900e+05,7.90000e+02,9.54690e-04
4.00,1.99717e+00,2.20900e+05,5.79000e+04,5.90000e+02,1.74673e-03
5.00,2.30231e+00,7.99000e+04,1.99000e+04,4.10000e+02,1.90895e-03
